광역시도,시군구,20~39세계,20~39세여자,65세이상계,인구수계,인구수남자,인구수여자,소멸비율,소멸위기지역,소멸위기고위험지역,ID
경기도,장안구,77281,35939,35173,273908,137852,136056,1.0217780684047422,False,False,수원 장안
경기도,중원구,62502,29480,32535,214929,108743,106186,0.9061011218687568,False,False,성남 중원
경기도,처인구,67969,31664,35961,253858,130011,123847,0.8805094407830706,False,False,용인 처인
경기도,파주시,122866,57826,61841,456020,231388,224633,0.9350754353907602,False,False,파주
경기도,팔달구,53053,24996,25524,172567,86722,85845,0.9793135872120358,False,False,수원 팔달
경기도,평택시,148888,67898,62366,518514,268145,250369,1.0887021774684924,False,False,평택
경기도,포천시,32429,14073,28098,146290,77250,69040,0.5008541533205211,False,False,포천
경기도,하남시,82406,40480,35077,280941,141222,139719,1.1540325569461471,False,False,하남
경기도,화성시,250612,118544,72273,832227,431380,400847,1.6402252570116087,False,False,화성
경상남도,거제시,62844,28808,25701,245675,128767,116908,1.1208902377339405,False,False,거제
경상남도,거창군,11142,4979,16720,61478,30048,31431,0.2977870813397129,True,False,거창
경상남도,고성군,8064,3482,15730,51428,25796,25632,0.2213604577240941,True,False,고성(경남)
경상남도,김해시,139958,66083,59060,539477,272737,266740,1.1189129698611582,False,False,김해
경상남도,남해군,5851,2521,16050,43005,20711,22294,0.15707165109034268,True,True,남해
경상남도,마산합포구,40335,18541,36206,175083,87177,87906,0.5120974424128597,False,False,창원 합포
경상남도,마산회원구,44890,20690,32212,191188,95972,95216,0.6423072147025953,False,False,창원 회원
경상남도,밀양시,18384,8256,28928,104301,51099,53202,0.2853982300884956,True,False,밀양
경상남도,사천시,23089,10047,23840,110680,55844,54836,0.4214345637583893,True,False,사천
경상남도,산청군,4759,2116,12547,34845,17098,17747,0.16864589144815495,True,True,산청
경상남도,성산구,63082,28789,17468,216963,110802,106161,1.6480993817265857,False,False,창원 성산
경상남도,양산시,91513,43658,46295,350004,175497,174508,0.9430392050977427,False,False,양산
경상남도,의령군,3909,1777,9777,26832,13114,13719,0.18175309399611334,True,True,의령
경상남도,의창구,71166,32642,31716,259218,131772,127446,1.0291966200025224,False,False,창원 의창
경상남도,진주시,86859,40828,57119,346176,171211,174966,0.7147884241670898,False,False,진주
경상남도,진해구,48513,22363,26642,192315,98368,93947,0.8393889347646573,False,False,창원 진해
경상남도,창녕군,10364,4543,18628,61342,30533,30809,0.2438801803736311,True,False,창녕
경상남도,통영시,26113,12239,24327,128933,64768,64165,0.503103547498664,False,False,통영
경상남도,하동군,6591,2796,15239,45390,22642,22748,0.1834766060765142,True,True,하동
경상남도,함안군,11629,5309,15608,64502,32679,31824,0.34014607893388005,True,False,함안
경상남도,함양군,5849,2650,12940,39045,18852,20193,0.20479134466769705,True,False,함양
경상남도,합천군,5835,2548,17183,44160,21273,22887,0.1482860967235058,True,True,합천
경상북도,경산시,69597,31844,43051,261751,131713,130039,0.7396808436505541,False,False,경산
경상북도,경주시,53175,23979,55535,252663,126557,126106,0.4317817592509228,True,False,경주
경상북도,고령군,5047,2209,9745,31647,16206,15441,0.2266803488968702,True,False,고령
경상북도,구미시,124029,57007,38533,416001,213221,202780,1.4794332130900787,False,False,구미
경상북도,군위군,3010,1246,9274,23385,11957,11428,0.13435410825965066,True,True,군위
경상북도,김천시,30287,13806,31687,140112,70262,69850,0.4356991826301007,True,False,김천
경상북도,남구,54569,23945,38988,231641,119277,112364,0.6141633323073766,False,False,포항 남구
경상북도,문경시,12188,5516,21066,71267,34971,36296,0.2618437292319377,True,False,문경
경상북도,봉화군,4109,1814,11291,31492,15846,15647,0.16065893189265787,True,True,봉화
경상북도,북구,63114,29256,45353,270547,134498,136049,0.6450730932904107,False,False,포항 북구
경상북도,상주시,16322,7165,29928,98241,48211,50030,0.2394079123229083,True,False,상주
경상북도,성주군,7030,3028,13625,43400,22450,20950,0.22223853211009173,True,False,성주
경상북도,안동시,32600,15222,38301,158634,78530,80104,0.3974308764784209,True,False,안동
경상북도,영덕군,5059,2284,13498,36484,17340,19145,0.16921025337086976,True,True,영덕
경상북도,영양군,2242,981,6125,16667,8279,8388,0.16016326530612246,True,True,영양
경상북도,영주시,18594,8163,27545,103452,51295,52157,0.29635142494100564,True,False,영주
경상북도,영천시,19951,8572,28034,101506,51618,49888,0.30577156310194764,True,False,영천
경상북도,예천군,9631,4548,16520,55042,27054,27989,0.27530266343825666,True,False,예천
경상북도,울릉군,1768,713,2291,9185,5008,4177,0.3112178088171104,True,False,울릉
경상북도,울진군,8904,3864,13424,48710,24423,24288,0.28784266984505363,True,False,울진
경상북도,의성군,6607,2865,21081,51647,25277,26371,0.13590436886295718,True,True,의성
경상북도,청도군,5821,2547,15701,42279,20776,21503,0.16221896694478058,True,True,청도
경상북도,청송군,3527,1439,9189,25052,12513,12539,0.15660028294700185,True,True,청송
경상북도,칠곡군,28045,12522,17669,114969,59991,54978,0.7086988510951384,False,False,칠곡
광주광역시,광산구,113180,54616,37126,403810,203241,200569,1.4710984215913376,False,False,광주 광산
광주광역시,남구,54446,26935,36561,214845,103448,111397,0.7367139848472416,False,False,광주 남구
광주광역시,동구,27106,13073,21207,99138,49085,50053,0.61644739944358,False,False,광주 동구
광주광역시,북구,118632,56668,62737,429591,213094,216498,0.903262827358656,False,False,광주 북구
광주광역시,서구,82728,40599,41057,297084,145639,151445,0.9888447767737536,False,False,광주 서구
대구광역시,남구,37443,18202,32971,145124,69856,75268,0.5520609020047921,False,False,대구 남구
대구광역시,달서구,147638,69847,77721,560982,276907,284076,0.8986889000398862,False,False,대구 달서
대구광역시,달성군,71490,33417,31631,257019,130483,126536,1.0564635958395243,False,False,대구 달성
대구광역시,동구,86337,40511,64999,340729,167923,172807,0.6232557423960369,False,False,대구 동구
대구광역시,북구,115385,53992,61525,436380,217210,219170,0.8775619666802112,False,False,대구 북구
대구광역시,서구,39938,17683,37166,170923,85626,85297,0.4757843190012377,True,False,대구 서구
대구광역시,수성구,98867,47965,64405,423483,205156,218328,0.7447403151929198,False,False,대구 수성
대구광역시,중구,22509,11288,15239,75567,36422,39146,0.7407310190957412,False,False,대구 중구
대전광역시,대덕구,44730,20171,26758,175497,89154,86343,0.7538306300919351,False,False,대전 대덕
대전광역시,동구,56703,26442,41078,222608,112097,110512,0.6437022250352987,False,False,대전 동구
대전광역시,서구,140045,68725,58712,476497,234238,242260,1.1705443520915657,False,False,대전 서구
대전광역시,유성구,108310,51206,32159,348735,176042,172693,1.5922758792251004,False,False,대전 유성
대전광역시,중구,57858,28139,44187,235822,116308,119515,0.6368162581754815,False,False,대전 중구
부산광역시,강서구,38916,18716,15634,132918,68663,64255,1.1971344505564794,False,False,부산 강서
부산광역시,금정구,59641,28008,47025,233506,114217,119289,0.5955980861244019,False,False,부산 금정
부산광역시,기장군,41060,20127,26315,168798,83578,85221,0.764848945468364,False,False,부산 기장
부산광역시,남구,66626,31886,51966,268383,131538,136846,0.6135935034445599,False,False,부산 남구
부산광역시,동구,20553,9801,22185,86801,42646,44156,0.4417849898580122,True,False,부산 동구
부산광역시,동래구,66293,32277,47578,268387,130808,137579,0.6784017823363739,False,False,부산 동래
부산광역시,부산진구,99361,49546,67325,354108,171332,182776,0.7359227627181582,False,False,부산 부산진
부산광역시,북구,72717,34310,47158,285666,141393,144273,0.7275541795665634,False,False,부산 북구
부산광역시,사상구,55276,25681,37178,213286,107659,105628,0.6907579751465921,False,False,부산 사상
부산광역시,사하구,78920,36886,56959,313486,156182,157305,0.6475886163731807,False,False,부산 사하
부산광역시,서구,24756,12244,25915,105948,51485,54464,0.4724676828091839,True,False,부산 서구
부산광역시,수영구,47944,24212,36166,174591,82665,91926,0.6694685616324725,False,False,부산 수영
부산광역시,연제구,53627,26538,38595,207199,99974,107225,0.6876020209871745,False,False,부산 연제
부산광역시,영도구,23103,10558,30089,113043,55798,57245,0.3508923526870285,True,False,부산 영도
부산광역시,중구,10011,4814,10430,40446,19836,20610,0.4615532118887824,True,False,부산 중구
부산광역시,해운대구,96706,47782,67224,400015,192805,207210,0.7107878138759967,False,False,부산 해운대
서울특별시,강남구,156053,83016,70008,530126,253755,276372,1.1858073363044224,False,False,서울 강남
서울특별시,강동구,129061,64619,65025,441733,217560,224173,0.9937562475970779,False,False,서울 강동
서울특별시,강북구,82271,40500,60093,305512,148977,156535,0.6739553691777744,False,False,서울 강북
서울특별시,강서구,187063,95668,84457,579138,279976,299163,1.1327421054501108,False,False,서울 강서
서울특별시,관악구,194638,94236,74422,489799,245687,244112,1.266238477869447,False,False,서울 관악
서울특별시,광진구,118572,61316,47428,343783,166230,177554,1.2928228050940374,False,False,서울 광진
서울특별시,구로구,118714,59236,65807,400915,197916,202999,0.9001474007324449,False,False,서울 구로
서울특별시,금천구,71700,33649,37128,228342,115594,112748,0.9062971342383108,False,False,서울 금천
서울특별시,노원구,138920,68501,81587,522235,252410,269826,0.8396068001029576,False,False,서울 노원
서울특별시,도봉구,85633,41870,59158,325050,158708,166343,0.7077656445451165,False,False,서울 도봉
서울특별시,동대문구,105551,51858,58129,337801,167564,170237,0.8921192520084641,False,False,서울 동대문
서울특별시,동작구,128785,64988,61506,387859,187886,199973,1.056612363021494,False,False,서울 동작
서울특별시,마포구,125017,66965,50654,365392,172413,192979,1.3220081336123504,False,False,서울 마포
서울특별시,서대문구,93510,47757,50450,304074,145927,158147,0.9466204162537164,False,False,서울 서대문
서울특별시,서초구,119306,63275,56204,419614,200823,218791,1.1258095509216426,False,False,서울 서초
서울특별시,성동구,94648,47938,42932,291841,142673,149168,1.1166030000931706,False,False,서울 성동
서울특별시,성북구,126470,64406,69512,432206,209002,223205,0.9265450569685808,False,False,서울 성북
서울특별시,송파구,205917,107181,87862,662838,320336,342502,1.2198789010038469,False,False,서울 송파
서울특별시,양천구,118257,58930,62000,450971,221368,229603,0.950483870967742,False,False,서울 양천
서울특별시,영등포구,124515,62844,56298,366258,181332,184926,1.116274112757114,False,False,서울 영등포
서울특별시,용산구,70034,35703,35173,219404,106237,113167,1.0150683763113753,False,False,서울 용산
서울특별시,은평구,134477,68486,79998,471906,227029,244877,0.8560964024100602,False,False,서울 은평
서울특별시,종로구,43061,21736,25597,144866,70613,74253,0.8491620111731844,False,False,서울 종로
서울특별시,중구,38455,19592,21878,121520,59536,61984,0.8955114727123138,False,False,서울 중구
서울특별시,중랑구,114135,56241,65636,390233,193106,197128,0.8568620878786032,False,False,서울 중랑
세종특별자치시,세종시,98167,49576,33147,347070,173130,173940,1.4956406311280055,False,False,세종
울산광역시,남구,88708,40457,37419,319908,162963,156945,1.0811887009273364,False,False,울산 남구
울산광역시,동구,42035,18698,18893,157346,82169,75177,0.9896787169851268,False,False,울산 동구
울산광역시,북구,62807,29036,17149,217825,112644,105181,1.693159951017552,False,False,울산 북구
울산광역시,울주군,52979,23945,31575,221860,114482,107379,0.7583531274742676,False,False,울산 울주
울산광역시,중구,54835,25197,31785,219176,111093,108083,0.7927324209532799,False,False,울산 중구
인천광역시,강화군,10815,4857,22228,68662,34390,34273,0.2185081878711535,True,False,인천 강화
인천광역시,계양구,83391,39952,36088,297386,148266,149120,1.1070716027488359,False,False,인천 계양
인천광역시,남동구,145481,70599,68239,524803,260553,264250,1.0345843286097394,False,False,인천 남동
인천광역시,동구,13856,6425,13723,62324,31473,30851,0.4681920862785106,True,False,인천 동구
인천광역시,미추홀구,113178,52867,66281,401346,201983,199363,0.7976192272295228,False,False,인천 미추홀
인천광역시,부평구,140742,68290,70322,497593,245889,251704,0.9711043485680158,False,False,인천 부평
인천광역시,서구,153454,74540,55342,539670,272307,267363,1.3468974738896318,False,False,인천 서구
인천광역시,연수구,107153,53003,35875,374306,186028,188278,1.4774355400696864,False,False,인천 연수
인천광역시,옹진군,4667,1473,5291,20367,11567,8800,0.2783972783972784,True,False,인천 옹진
인천광역시,중구,39667,18824,19309,135667,70331,65336,0.9748821792946296,False,False,인천 중구
전라남도,강진군,5446,2525,11881,34648,16711,17937,0.21252419829980645,True,False,강진
전라남도,고흥군,8098,3549,25951,64022,31065,32957,0.13675773573272704,True,True,고흥
전라남도,곡성군,4263,1958,10089,28267,13835,14433,0.19407275250272574,True,True,곡성
전라남도,광양시,39931,17641,19642,153640,79924,73716,0.8981264637002342,False,False,광양
전라남도,구례군,3887,1805,8741,25985,12663,13322,0.20649811234412535,True,False,구례
전라남도,나주시,27023,12851,25388,114376,57604,56772,0.5061840239483221,False,False,나주
전라남도,담양군,8667,3799,14070,46034,23452,22582,0.2700071073205402,True,False,담양
전라남도,목포시,54208,25624,36558,225273,112219,113054,0.7009136167186388,False,False,목포
전라남도,무안군,18235,8682,17082,83168,41747,41421,0.5082543027748507,False,False,무안
전라남도,보성군,5685,2560,15374,40544,19742,20802,0.16651489527774166,True,True,보성
전라남도,순천시,70234,33228,43095,279602,139449,140153,0.7710407239819005,False,False,순천
전라남도,신안군,5774,2225,14081,39201,20863,18338,0.15801434557204744,True,True,신안
전라남도,여수시,65443,29396,52858,279854,142573,137281,0.5561315221915321,False,False,여수
전라남도,영광군,9993,4600,15196,52970,26446,26525,0.3027112397999473,True,False,영광
전라남도,영암군,10064,4427,14080,53651,27599,26052,0.3144176136363636,True,False,영암
전라남도,완도군,7981,3472,16025,50007,25134,24873,0.2166614664586584,True,False,완도
전라남도,장성군,8299,3604,13109,44715,22983,21732,0.2749256236173621,True,False,장성
전라남도,장흥군,6050,2759,12733,37859,18382,19477,0.21668106494934425,True,False,장흥
전라남도,진도군,4905,2162,10130,30722,15149,15573,0.2134254689042448,True,False,진도
전라남도,함평군,4756,2053,11546,32098,16105,15994,0.1778104971418673,True,True,함평
전라남도,해남군,10907,5045,21946,69000,34053,34947,0.22988243871320516,True,False,해남
전라남도,화순군,11610,5479,16416,62182,30773,31409,0.33375974658869395,True,False,화순
전라북도,고창군,8348,3732,18475,54579,27019,27560,0.20200270635994588,True,False,고창
전라북도,군산시,61125,28489,48768,266687,134815,131872,0.5841740485564304,False,False,군산
전라북도,김제시,14113,6415,25757,82405,40902,41504,0.2490585083666576,True,False,김제
전라북도,남원시,14155,6603,22274,80654,39528,41126,0.29644428481637786,True,False,남원
전라북도,덕진구,85159,41045,43137,315225,156842,158383,0.9515033497925216,False,False,전주 덕진
전라북도,무주군,3591,1615,7950,24069,11977,12092,0.20314465408805032,True,False,무주
전라북도,부안군,8417,3800,17061,52251,25966,26286,0.22273020338784366,True,False,부안
전라북도,순창군,4243,2056,9330,27930,13575,14356,0.22036441586280814,True,False,순창
전라북도,완산구,88971,43295,52054,337634,164462,173172,0.8317324317055366,False,False,전주 완산
전라북도,완주군,18698,8722,20798,91372,46928,44444,0.4193672468506587,True,False,완주
전라북도,익산시,65967,30705,54379,283174,141054,142120,0.5646481178396072,False,False,익산
전라북도,임실군,4387,1912,9834,27928,14241,13688,0.19442749644091925,True,True,임실
전라북도,장수군,3345,1540,7397,22159,11037,11122,0.20819251047722048,True,False,장수
전라북도,정읍시,19791,9088,29484,108474,53843,54631,0.3082349749016416,True,False,정읍
전라북도,진안군,3712,1749,8706,25361,12817,12544,0.20089593383873192,True,False,진안
제주특별자치도,서귀포시,39418,18952,34153,180430,91224,89206,0.5549146487863438,False,False,서귀포
제주특별자치도,제주시,125959,60878,67662,486839,244152,242688,0.8997369276698886,False,False,제주
충청남도,계룡시,9618,4561,4911,42707,21244,21463,0.9287314192628792,False,False,계룡
충청남도,공주시,21344,9744,26790,104677,52455,52222,0.3637178051511758,True,False,공주
충청남도,금산군,8019,3606,15693,51373,25903,25471,0.2297839801185242,True,False,금산
충청남도,논산시,22593,10290,30245,116626,58349,58277,0.34022152421887913,True,False,논산
충청남도,당진시,39714,16973,30399,165750,87808,77942,0.5583407348925952,False,False,당진
충청남도,동남구,69089,32688,35681,256758,130013,126745,0.9161178218099268,False,False,천안 동남
충청남도,보령시,19330,8443,25346,99853,50593,49260,0.3331097609090192,True,False,보령
충청남도,부여군,10100,4421,22164,65431,32477,32955,0.19946760512542866,True,True,부여
충청남도,서북구,131984,62402,33268,394727,201935,192792,1.8757364434291208,False,False,천안 서북
충청남도,서산시,41640,18008,31571,174315,90479,83837,0.5703968832156092,False,False,서산
충청남도,서천군,7565,3248,18551,51821,25628,26193,0.17508490108349956,True,True,서천
충청남도,아산시,85688,39333,40747,313250,162307,150943,0.9652980587527916,False,False,아산
충청남도,예산군,13242,5837,23994,78072,39228,38844,0.24326915062098856,True,False,예산
충청남도,청양군,4931,2113,10851,31134,15756,15379,0.19472859644272414,True,True,청양
충청남도,태안군,10451,4471,18864,62051,31335,30716,0.2370122985581001,True,False,태안
충청남도,홍성군,20483,9551,23306,99547,49507,50040,0.40980863297005066,True,False,홍성
충청북도,괴산군,6048,2567,12747,38968,19995,18974,0.2013807170314584,True,False,괴산
충청북도,단양군,4411,1931,8752,29143,14783,14361,0.22063528336380256,True,False,단양
충청북도,보은군,4706,2047,10967,32403,16307,16096,0.1866508616759369,True,True,보은
충청북도,상당구,45413,21537,28094,183083,91044,92040,0.7666049690325336,False,False,청주 상당
충청북도,서원구,52446,24741,28508,197773,98076,99698,0.86786165286937,False,False,청주 서원
충청북도,영동군,8038,3663,14708,47737,23732,24005,0.24904813706826215,True,False,영동
충청북도,옥천군,8472,3839,14710,50381,25424,24958,0.2609789259007478,True,False,옥천
충청북도,음성군,19630,8445,19252,93181,49273,43908,0.438655724080615,True,False,음성
충청북도,제천시,28234,13018,28247,132883,66629,66254,0.4608631005062485,True,False,제천
충청북도,증평군,9381,4077,6236,36893,19130,17763,0.6537844772289929,False,False,증평
충청북도,진천군,20447,9013,13290,81958,42893,39065,0.6781790820165537,False,False,진천
충청북도,청원구,58449,26661,23978,194256,99503,94754,1.1118942363833515,False,False,청주 청원
충청북도,충주시,47962,21293,40566,209084,105733,103351,0.5248976975792535,False,False,충주
충청북도,흥덕구,81443,37975,28478,262632,133185,129448,1.3334854975770771,False,False,청주 흥덕
