순위,제목,가수,앨범
32,네가 없는 밤 (Feat. ASH ISLAND) (Prod. by GRAY),BE'O (비오),쇼미더머니 10 Final
33,끝사랑,임영웅,사랑의 콜센타 PART61
34,너의 모든 순간,성시경,별에서 온 그대 OST Part.7 (SBS 수목드라마)
35,Next Level,aespa,Next Level
36,HERO,임영웅,HERO
37,잊었니,임영웅,사랑의 콜센타 PART60
38,너를 생각해,주시크 (Joosiq),너를 생각해
39,My Universe,Coldplay & 방탄소년단,My Universe
40,Hey Mama (Feat. Nicki Minaj & Bebe Rexha & Afrojack),David Guetta,Listen (Deluxe)
41,Bk Love,임영웅,뽕숭아학당 PART23
42,낙하 (With 아이유),AKMU (악뮤),NEXT EPISODE
43,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition)
44,Bad Habits,Ed Sheeran,=
45,바라만 본다,MSG워너비 (M.O.M),MSG워너비 1집
46,Butter,방탄소년단,Butter
47,Dreams Come True,aespa,Dreams Come True - SM STATION
48,이별후회,김나영,그 해 우리는 OST Part.4
49,계단말고 엘리베이터,임영웅,계단말고 엘리베이터
50,Permission to Dance,방탄소년단,Butter / Permission to Dance
51,Dynamite,방탄소년단,Dynamite (DayTime Ver.)
52,고백,멜로망스 (MeloMance),세 번째 '고백'
53,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마)
54,밤하늘의 별을 (2020),경서,밤하늘의 별을 (2020)
55,MBTI (Feat. 쿠기 & 로꼬) (Prod. by GRAY),BE'O (비오),쇼미더머니 10 Semi Final
56,Celebrity,아이유 (IU),IU 5th Album 'LILAC'
57,라일락,아이유 (IU),IU 5th Album 'LILAC'
58,"19금
                                        
                                        
                                        
                                            
                                                Peaches (Feat. Daniel Caesar & Giveon)",Justin Bieber,Justice
59,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (Maktub),Red Moon : Beyond The Light
60,헤픈 우연,헤이즈 (Heize),HAPPEN
61,Tiny Riot,Sam Ryder,The Sun's Gonna Rise
62,Weekend,태연 (TAEYEON),Weekend
63,너 없이 사는 게 (N번째 연애 X 허각),허각,너 없이 사는 게 (N번째 연애 X 허각)
64,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),멜로망스 (MeloMance),그게 더 편할 것 같아 (N번째 연애 X 멜로망스)
65,비와 당신,이무진,슬기로운 의사생활 시즌2 OST Part 1 (tvN 목요드라마)
66,Last Christmas,Wham!,George Michael & Wham! Last Christmas : The Original Motion Picture Soundtrack (영화 '라스트 크리스마스' OST)
67,시간을 거슬러 (낮에 뜨는 달 X 케이윌),케이윌 (K.Will),시간을 거슬러 (낮에 뜨는 달 X 케이윌)
68,호우주의 (Feat. 개코 & 넉살 (Nucksal)) (Prod. by 코드 쿤스트),조광일,쇼미더머니 10 Semi Final
69,만개 (Prod. 신지후),김호중,우리家
70,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
71,나보다 더 사랑해요,김호중,나보다 더 사랑해요
72,좋아좋아,조정석,슬기로운 의사생활 시즌2 OST Part 5 (tvN 목요드라마)
73,롤린 (Rollin'),브레이브걸스 (Brave girls),Rollin'
74,내 손을 잡아,아이유 (IU),최고의 사랑 OST Part.4 (MBC 수목드라마)
75,탕!♡,MINO (송민호),''TO INFINITY.''
76,사이렌 Remix (Feat. UNEDUCATED KID & Paul Blanco),호미들,사이렌 Remix
77,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685 & Jason Derulo & 방탄소년단,Savage Love (Laxed - Siren Beat) (BTS Remix)
78,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게
79,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),Red Moon : To You My Light
80,Blueming,아이유 (IU),Love poem
81,사랑하게 될 줄 알았어,전미도,슬기로운 의사생활 OST Part 11 (tvN 목요드라마)
82,비가 오는 날엔 (2021),헤이즈 (Heize),비가 오는 날엔 (2021)
83,깐부 (Feat. 염따 & ASH ISLAND) (Prod. by TOIL),쿤타 (Koonta),쇼미더머니 10 Episode 3
84,희재,성시경,국화꽃 향기 OST
85,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들)
86,좋은 사람 있으면 소개시켜줘,조이 (JOY),슬기로운 의사생활 OST Part 2 (tvN 목요드라마)
87,2002,Anne-Marie,Speak Your Mind (Deluxe)
88,나비효과,볼빨간사춘기,Butterfly Effect
89,너와 나의 Memories,염따 & TOIL & 쿤타 & 베이식 (Basick) & 365LIT & 황지상 & 송민영,쇼미더머니 10 Episode 1
90,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3 (JTBC 금토 드라마)
91,"묘해, 너와",어쿠스틱 콜라보,연애의 발견 OST Part 4 (KBS 월화드라마)
92,살았소,김호중,살았소
93,고맙소,김호중,내일은 미스터트롯 결승전 베스트
94,하루만 더,빅마마 (Big Mama),하루만 더
95,추억은 만남보다 이별에 남아,정동하,추억은 만남보다 이별에 남아
96,Brand (Feat. 래원 (Layone)),BE'O (비오),Bipolar
97,우산이 없어요,김호중,우리家
98,At My Worst,Pink Sweat$,The Prelude
99,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
100,밤새 서로 미루다,존 박 & 전미도,밤새 서로 미루다
101,거리에서,성시경,The Ballads
102,Last Christmas,Ariana Grande,Christmas Kisses
103,가을 우체국 앞에서,김대명,슬기로운 의사생활 시즌2 OST Part 2 (tvN 목요드라마)
104,첫눈처럼 너에게 가겠다,에일리 (Ailee),도깨비 OST Part 9 (tvN 금토드라마)
105,Timeless,SG워너비,Wanna Be＋
106,에잇 (Prod. & Feat. SUGA of BTS),아이유 (IU),에잇
107,오래된 노래,Standing Egg (스탠딩 에그),오래된 노래
108,서랍,10CM,그 해 우리는 OST Part.1
109,나의 첫사랑,다비치,나의 첫사랑
110,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL
111,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까
112,가을 타나 봐,이무진,가을 타나 봐 (REVIBE Vol.4)
113,12 : 45 (Stripped),etham,12 : 45 (Stripped)
114,아무도 잠들지 마라 (Nessun Dorma),김호중,The Classic Album
115,아로하,조정석,슬기로운 의사생활 OST Part 3 (tvN 목요드라마)
116,퇴근길,김호중,우리家
117,Off My Face,Justin Bieber,Justice
118,VVS (Feat. JUSTHIS) (Prod. by GroovyRoom),미란이 (Mirani) & 먼치맨 (MUNCHMAN) & Khundi Panda & 머쉬베놈 (MUSHVENOM),쇼미더머니 9 Episode 1
119,METEOR,창모 (CHANGMO),Boyhood
120,봄날,방탄소년단,YOU NEVER WALK ALONE
121,어푸 (Ah puh),아이유 (IU),IU 5th Album 'LILAC'
122,우리가 헤어져야 했던 이유,비비 (BIBI),그 해 우리는 OST Part.2
123,혼자 사랑하고 미워해,백예슬,혼자 사랑하고 미워해
124,멜로디,ASH ISLAND,멜로디
125,기다리다,윤하 (YOUNHA),Audition (Time 2 Rock)
126,I Don't Care,2NE1,2NE1 1st Mini Album
127,DUMB DUMB,전소미,DUMB DUMB
128,TROUBLE (Prod. by Slom),던밀스 (Don Mills) & Northfacegawd (노스페이스갓) & sokodomo & Khakii (카키) & A-Chess (에이체스),쇼미더머니 10 Episode 1
129,안녕,폴킴,호텔 델루나 OST Part.10 (tvN 토일드라마)
130,SCIENTIST,TWICE (트와이스),Formula of Love: O＋T=＜3
131,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),비 오는 날 듣기 좋은 노래
132,사실 나는 (Feat. 전건호),경서예지,사실 나는
133,다음생이 있다면 당신을 만나서 다시 사랑할래요,임재현,다음생이 있다면 당신을 만나서 다시 사랑할래요
134,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
135,참 좋은 날,이찬원,참 좋은 날
136,밤편지,아이유 (IU),밤편지
137,Queendom,Red Velvet (레드벨벳),Queendom - The 6th Mini Album
138,Reset (Feat. 개코 & Kid Milli) (Prod. by 코드 쿤스트),SINCE & Tabber,쇼미더머니 10 Episode 3
139,너의 번호를 누르고 (Prod. by 영화처럼),#안녕,너의 번호를 누르고
140,Bad,Christopher,Under the Surface
141,Life Goes On,방탄소년단,BE
142,마음을 드려요,아이유 (IU),사랑의 불시착 OST Part 11 (tvN 토일 드라마)
143,진또배기,이찬원,내일은 미스터트롯 예선곡 베스트
144,Memories,Maroon 5,Memories
145,나만의 길 (My Way),김호중,우리家
146,서툰 이별을 하려해 (Feat. 전상근),윤토벤 (YounToven),서툰 이별을 하려해
147,힘을 내세요,이찬원,..선물
148,잠이 오질 않네요,장범준,잠이 오질 않네요
149,Cold Blooded,제시,Cold Blooded
150,운전만해 (We Ride),브레이브걸스 (Brave girls),We Ride
151,백화 (白花) (Narration. 손숙),김호중,우리家
152,위대한 사랑 (Un Amore Cosi Grande),김호중,The Classic Album
153,희망가 (Prod. by 이지수),김호중,우리家
154,메밀꽃 필무렵,이찬원,..선물
155,Lovesick Girls,BLACKPINK,THE ALBUM
156,홀로아리랑 (Prod. by 박경훈),김호중,우리家
157,우린 어쩌다 헤어진 걸까,허각,Hello
158,08베이식 (Feat. 염따 & punchnello),베이식,쇼미더머니 10 Semi Final
159,시절인연 (時節因緣),이찬원,꼰대인턴 OST Part 2 (MBC 수목드라마)
160,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭 & 정은지,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)"
161,Way Back Home,숀 (SHAUN),Take
162,상상더하기,라붐 (LABOUM),Fresh Adventure
163,주저하는 연인들을 위해,잔나비,전설
164,편의점,이찬원,편의점
165,별거 없던 그 하루로,임창정,별거 없던 그 하루로
166,OUT OF MY SIGHT,릴러말즈 (Leellamarz),VIOLINIST2
167,그댈 만나러 갑니다,이찬원,..선물
168,ASAP,STAYC (스테이씨),STAYDOM
169,시작,가호 (Gaho),이태원 클라쓰 OST Part.2 (JTBC 금토드라마)
170,우산 (Feat. 윤하),에픽하이 (EPIK HIGH),Breakdown
171,남자의 다짐,이찬원,..선물
172,나 그댈위해 시 한편을 쓰겠어,케이시 (Kassy),옛이야기
173,18세 순이,이찬원,내일은 미스터트롯 결승전 베스트
174,헤어지지 못하는 여자 떠나가지 못하는 남자 (Feat. 정인),리쌍 (Leessang),Hexagonal
175,너를 만나,폴킴,너를 만나
176,선물,멜로망스 (MeloMance),Moonlight
177,첫 겨울이니까,성시경 & 아이유,첫 겨울이니까
178,메밀꽃 필 무렵 (Piano Ver.),이찬원,참 좋은 날
179,Make It To Christmas,Alessia Cara,Make It To Christmas
180,딱! 풀,이찬원,내일은 미스터트롯 결승전 베스트
181,Dance Monkey,Tones And I,The Kids Are Coming
182,어떻게 지내 (Prod. by VAN.C),오반,어떻게 지내
183,Leave The Door Open,Bruno Mars & Anderson .Paak & Silk Sonic,An Evening With Silk Sonic
184,밤하늘의 저 별처럼,헤이즈 (Heize) & 펀치 (Punch),밤하늘의 저 별처럼 (브람스를 좋아하세요? OST 스페셜 트랙) (SBS 월화드라마)
185,고백,10CM,두 번째 '고백'
186,두 사람,성시경,다시 꿈꾸고 싶다
187,Love poem,아이유 (IU),Love poem
188,너는 내 세상이었어,볼빨간사춘기,Butterfly Effect
189,벌써 일년,브라운 아이즈,Brown Eyes
190,parachute,John K,love ＋ everything else
191,Shape Of You,Ed Sheeran,÷ (Deluxe)
192,Easy On Me,Adele,30
193,여전히 아름다운지,세븐틴 (SEVENTEEN),슬기로운 의사생활 시즌2 OST Part 8 (tvN 목요드라마)
194,좋은 날,아이유 (IU),REAL
195,Kiss Me More (Feat. SZA),Doja Cat,Kiss Me More
196,Heaven,김현성,Soulmate
197,아하 (A-Ha),효린,아하 (A-Ha)
198,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재)
199,You Deserve It All,John Legend,You Deserve It All
200,Paris In The Rain,Lauv,I met you when I was 18. (the playlist)
